[21103.498906] 960:27f
[21103.498911] 965:27f
[21103.498916] 969:27f
[21103.498921] 966:27f
[21103.498925] 991:22f
[21103.498930] 50:27f
[21103.498934] 966:27f
[21103.498940] 1065:27f
[21103.498944] 966:27f
[21103.498949] 1036:27f
[21103.498954] 965:27f
[21103.498958] 982:17f
[21103.498963] 33:27f
[21103.498968] 968:27f
[21103.498972] 976:22f
[21103.498977] 209:17f
[21103.498982] 945:27f
[21103.498987] 976:27f
[21103.498991] 959:27f
[21103.498996] 557:22f
[21103.499001] 424:27f
[21103.499005] 961:27f
[21103.499010] 1065:17f
[21103.499015] 9:27f
[21103.499020] 961:27f
[21103.499024] 1001:27f
[21103.499029] 974:22f
[21103.499033] 971:17f
[21103.499038] 192:22f
[21103.499043] 1100:27f
[21103.499048] 970:27f
[21103.499052] 7:22f
[21103.499057] 947:27f
[21103.499062] 968:27f
[21103.499066] 965:27f
[21103.499071] 999:22f
[21103.499076] 21:17f
[21103.499080] 1053:27f
[21103.499085] 906:22f
[21103.499090] 956:27f
[21103.499094] 937:17f
[21103.499099] 12:22f
[21103.499104] 1007:27f
[21103.499108] 965:27f
[21103.499113] 940:22f
[21103.499118] 298:17f
[21103.499122] 661:22f
[21103.499127] 463:17f
[21103.499132] 700:22f
[21103.499137] 461:17f
[21103.499141] 752:22f
[21103.499146] 683:17f
[21103.499151] 511:22f
[21103.499155] 981:17f
[21103.499160] 98:22f
[21103.499165] 1046:27f
[21103.499169] 898:22f
[21103.499174] 775:17f
[21103.499179] 356:22f
[21103.499183] 958:22f
[21103.499188] 433:17f
[21103.499193] 605:22f
[21103.499197] 894:17f
[21103.499202] 237:22f
[21103.499207] 955:27f
[21103.499211] 978:27f
[21103.499216] 975:27f
[21103.499221] 969:27f
[21103.499225] 958:22f
[21103.499230] 7:27f
[21103.499235] 957:27f
[21103.499239] 173:18f
[21103.499244] 1317:27f
[21103.499249] 610:22f
[21103.499253] 558:17f
[21103.499258] 505:22f
[21103.499263] 549:17f
[21103.499267] 420:22f
[21103.499272] 654:17f
[21103.499277] 362:22f
[21103.499282] 699:17f
[21103.499286] 515:22f
[21103.499291] 476:17f
[21103.499296] 659:22f
[21103.499300] 278:17f
[21103.499305] 941:22f
[21103.499309] 107:17f
[21103.499314] 897:22f
[21103.499319] 60:17f
[21103.499324] 1022:17f
[21103.499328] 0:22f
[21103.499333] 949:17f
[21103.499338] 255:22f
[21103.499342] 712:17f
[21103.499347] 466:22f
[21103.499352] 537:17f
[21103.499356] 651:22f
[21103.499361] 310:17f
[21103.499366] 652:22f
[21103.499370] 372:17f
[21103.499375] 596:22f
[21103.499380] 362:17f
[21103.499384] 706:22f
[21103.499389] 376:17f
[21103.499394] 632:22f
[21103.499398] 344:17f
[21103.499403] 826:22f
[21103.499408] 175:17f
[21103.499413] 816:22f
[21103.499417] 152:17f
[21103.499422] 872:22f
[21103.499426] 92:17f
[21103.499431] 1001:27f
[21103.499436] 10:17f
[21103.499441] 990:17f
[21103.499445] 56:22f
[21103.499450] 936:17f
[21103.499454] 181:22f
[21103.499459] 780:17f
[21103.499464] 201:22f
[21103.499468] 880:17f
[21103.499473] 214:22f
[21103.499478] 761:17f
[21103.499482] 310:22f
[21103.499487] 683:17f
[21103.499492] 393:22f
[21103.499496] 575:17f
[21103.499501] 389:22f
[21103.499506] 578:17f
[21103.499510] 386:22f
[21103.499515] 617:17f
[21103.499520] 389:22f
[21103.499525] 645:17f
[21103.499529] 553:22f
[21103.499534] 469:17f
[21103.499539] 748:22f
[21103.499543] 308:17f
[21103.499548] 690:22f
[21103.499553] 283:17f
[21103.499557] 670:22f
[21103.499562] 297:17f
[21103.499567] 772:22f
[21103.499571] 297:17f
[21103.499576] 663:22f
[21103.499581] 445:17f
[21103.499585] 715:22f
[21103.499590] 354:17f
[21103.499595] 589:22f
[21103.499599] 378:17f
[21103.499604] 710:22f
[21103.499609] 283:17f
[21103.499614] 671:22f
