[20522.441872] 305:17f
[20522.441877] 970:27f
[20522.441882] 988:27f
[20522.441886] 956:17f
[20522.441891] 481:22f
[20522.441896] 759:17f
[20522.441900] 920:22f
[20522.441905] 77:17f
[20522.441910] 917:22f
[20522.441914] 220:17f
[20522.441919] 945:22f
[20522.441924] 131:17f
[20522.441928] 966:27f
[20522.441933] 970:27f
[20522.441938] 946:27f
[20522.441942] 999:27f
[20522.441947] 953:17f
[20522.441951] 631:22f
[20522.441956] 447:17f
[20522.441961] 987:27f
[20522.441966] 284:18f
[20522.441970] 1754:17f
[20522.441975] 84:27f
[20522.441980] 980:27f
[20522.441984] 943:17f
[20522.441989] 419:22f
[20522.441994] 535:27f
[20522.441998] 952:27f
[20522.442003] 968:22f
[20522.442008] 224:17f
[20522.442012] 826:22f
[20522.442017] 147:17f
[20522.442022] 968:22f
[20522.442026] 234:17f
[20522.442031] 732:22f
[20522.442036] 334:17f
[20522.442040] 629:22f
[20522.442045] 542:17f
[20522.442050] 649:22f
[20522.442054] 377:17f
[20522.442059] 717:22f
[20522.442064] 459:17f
[20522.442068] 526:22f
[20522.442073] 715:17f
[20522.442078] 264:22f
[20522.442082] 871:17f
[20522.442087] 343:22f
[20522.442092] 622:17f
[20522.442096] 422:22f
[20522.442101] 552:17f
[20522.442106] 409:22f
[20522.442110] 639:17f
[20522.442115] 497:22f
[20522.442120] 626:17f
[20522.442124] 21:18f
[20522.442129] 1550:17f
[20522.442134] 520:27f
[20522.442138] 1157:27f
[20522.442143] 941:22f
[20522.442148] 3:27f
[20522.442153] 963:22f
[20522.442157] 902:17f
[20522.442162] 147:22f
[20522.442166] 990:22f
[20522.442171] 973:22f
[20522.442176] 138:17f
[20522.442180] 894:27f
[20522.442185] 5:22f
[20522.442190] 974:22f
[20522.442194] 3:27f
[20522.442199] 991:27f
[20522.442204] 911:22f
[20522.442208] 265:17f
[20522.442213] 787:22f
[20522.442217] 977:22f
[20522.442222] 218:17f
[20522.442227] 924:27f
[20522.442231] 8:22f
[20522.442236] 983:27f
[20522.442241] 950:22f
[20522.442245] 157:17f
[20522.442250] 927:27f
[20522.442255] 961:27f
[20522.442260] 765:18f
[20522.442264] 1369:27f
[20522.442269] 232:17f
[20522.442273] 755:27f
[20522.442278] 945:27f
[20522.442283] 877:22f
[20522.442287] 319:27f
[20522.442292] 950:27f
[20522.442297] 1015:27f
[20522.442301] 945:27f
[20522.442306] 1017:27f
[20522.442311] 966:27f
[20522.442315] 973:27f
[20522.442320] 970:22f
[20522.442325] 419:17f
[20522.442329] 903:22f
[20522.442334] 57:17f
[20522.442338] 966:17f
[20522.442343] 470:22f
[20522.442348] 768:17f
[20522.442352] 225:22f
[20522.442357] 995:17f
[20522.442362] 5:27f
[20522.442366] 967:17f
[20522.442371] 249:22f
[20522.442376] 793:17f
[20522.442380] 220:22f
[20522.442385] 919:17f
[20522.442389] 40:22f
[20522.442394] 663:18f
[20522.442398] 1326:27f
[20522.442403] 396:17f
[20522.442408] 969:17f
[20522.442412] 947:17f
[20522.442417] 522:22f
[20522.442422] 487:27f
[20522.442426] 975:27f
[20522.442431] 2:17f
[20522.442435] 1036:27f
[20522.442440] 999:22f
[20522.442444] 15:17f
[20522.442449] 1004:22f
[20522.442454] 42:17f
[20522.442458] 992:22f
[20522.442463] 113:17f
[20522.442468] 953:27f
[20522.442472] 1011:22f
[20522.442477] 118:17f
[20522.442482] 850:22f
[20522.442486] 155:17f
[20522.442491] 811:22f
[20522.442496] 367:17f
[20522.442500] 764:22f
[20522.442505] 413:17f
[20522.442510] 683:22f
[20522.442514] 292:17f
[20522.442519] 880:22f
[20522.442524] 258:17f
[20522.442528] 886:22f
[20522.442533] 330:17f
[20522.442537] 794:22f
[20522.442542] 293:17f
[20522.442546] 301:18f
[20522.442551] 1622:27f
[20522.442556] 90:17f
[20522.442560] 903:27f
[20522.442565] 945:27f
[20522.442570] 770:22f
[20522.442574] 190:27f
[20522.442579] 950:27f
[20522.442583] 947:17f
[20522.442588] 178:22f
[20522.442593] 988:17f
[20522.442597] 432:22f
[20522.442602] 540:17f
[20522.442607] 782:22f
[20522.442611] 306:17f
[20522.442616] 823:22f
[20522.442620] 266:17f
[20522.442625] 982:27f
[20522.442630] 947:27f
[20522.442634] 1040:17f
[20522.442639] 595:22f
[20522.442643] 417:17f
[20522.442648] 1052:22f
[20522.442653] 31:17f
[20522.442657] 1079:17f
[20522.442662] 790:22f
[20522.442667] 450:17f
[20522.442671] 952:17f
[20522.442676] 317:22f
[20522.442681] 599:18f
[20522.442685] 1464:17f
[20522.442690] 100:27f
[20522.442694] 985:27f
[20522.442699] 966:27f
[20522.442704] 659:22f
[20522.442708] 299:27f
[20522.442713] 980:17f
[20522.442718] 248:22f
[20522.442722] 943:27f
[20522.442727] 957:27f
[20522.442732] 1015:17f
[20522.442736] 95:22f
[20522.442741] 892:27f
[20522.442745] 967:27f
[20522.442750] 985:27f
[20522.442755] 1413:22f
[20522.442759] 236:17f
[20522.442764] 839:22f
[20522.442769] 694:17f
[20522.442773] 892:22f
[20522.442778] 779:17f
[20522.442783] 936:22f
[20522.442787] 287:17f
[20522.442792] 940:27f
[20522.442797] 1045:27f
[20522.442801] 382:18f
[20522.442806] 1247:27f
[20522.442811] 1329:17f
[20522.442815] 974:17f
[20522.442820] 539:22f
[20522.442825] 497:27f
[20522.442829] 945:27f
[20522.442834] 965:27f
[20522.442838] 931:22f
[20522.442843] 49:17f
[20522.442848] 1049:27f
[20522.442852] 884:22f
[20522.442857] 137:17f
[20522.442862] 1005:27f
[20522.442866] 925:22f
[20522.442871] 161:17f
[20522.442875] 977:17f
[20522.442880] 107:22f
[20522.442885] 1075:17f
[20522.442889] 79:22f
[20522.442894] 960:22f
[20522.442899] 71:17f
[20522.442903] 934:22f
[20522.442908] 268:17f
[20522.442912] 828:22f
[20522.442917] 200:17f
[20522.442922] 813:22f
[20522.442926] 254:17f
[20522.442931] 914:22f
[20522.442935] 99:17f
[20522.442940] 765:18f
[20522.442945] 1311:27f
[20522.442949] 304:17f
[20522.442954] 665:27f
[20522.442958] 1033:27f
[20522.442963] 866:22f
[20522.442968] 107:27f
[20522.442973] 1117:27f
[20522.442977] 970:27f
[20522.442982] 962:27f
[20522.442986] 973:27f
[20522.442991] 1204:27f
[20522.442996] 974:17f
[20522.443000] 11:27f
[20522.443005] 964:27f
[20522.443009] 1067:22f
[20522.443014] 160:17f
[20522.443019] 1313:22f
[20522.443023] 202:17f
[20522.443028] 809:22f
[20522.443033] 359:17f
[20522.443037] 972:27f
[20522.443042] 984:27f
[20522.443047] 986:27f
[20522.443051] 963:27f
[20522.443056] 710:18f
[20522.443060] 1317:27f
[20522.443065] 1162:17f
[20522.443070] 968:17f
[20522.443075] 679:22f
[20522.443079] 343:27f
[20522.443084] 978:27f
[20522.443088] 981:17f
[20522.443093] 95:22f
[20522.443097] 1209:27f
[20522.443102] 806:17f
[20522.443107] 124:22f
[20522.443111] 834:17f
[20522.443116] 202:22f
[20522.443121] 965:17f
[20522.443125] 261:22f
[20522.443130] 708:17f
[20522.443134] 236:22f
[20522.443139] 727:17f
[20522.443144] 467:22f
[20522.443148] 710:17f
[20522.443153] 342:22f
[20522.443157] 720:17f
[20522.443162] 265:22f
[20522.443167] 709:17f
[20522.443171] 443:22f
[20522.443176] 695:17f
[20522.443181] 428:22f
[20522.443185] 667:17f
[20522.443190] 550:22f
[20522.443195] 641:17f
[20522.443199] 409:22f
[20522.443204] 344:18f
[20522.443209] 1554:17f
[20522.443213] 214:27f
[20522.443218] 963:27f
[20522.443223] 981:27f
[20522.443227] 617:22f
[20522.443232] 347:27f
[20522.443236] 924:22f
[20522.443241] 501:17f
[20522.443246] 742:22f
[20522.443250] 918:17f
[20522.443255] 121:22f
[20522.443260] 998:27f
[20522.443264] 911:22f
[20522.443269] 213:17f
[20522.443274] 994:22f
[20522.443278] 537:17f
[20522.443283] 519:22f
[20522.443287] 949:27f
[20522.443292] 957:27f
[20522.443297] 969:27f
[20522.443301] 1014:22f
[20522.443306] 25:17f
[20522.443311] 980:27f
[20522.443315] 969:27f
[20522.443320] 944:27f
[20522.443325] 944:22f
[20522.443329] 117:17f
[20522.443334] 66:18f
[20522.443339] 1251:27f
[20522.443343] 1166:17f
[20522.443348] 935:27f
[20522.443353] 790:22f
[20522.443357] 192:27f
[20522.443362] 946:27f
[20522.443367] 16:22f
[20522.443371] 1022:17f
[20522.443376] 159:22f
[20522.443381] 898:17f
[20522.443385] 511:22f
[20522.443390] 623:17f
[20522.443395] 363:22f
[20522.443399] 715:17f
[20522.443404] 369:22f
[20522.443409] 716:17f
[20522.443413] 421:22f
[20522.443418] 655:17f
[20522.443422] 441:22f
[20522.443427] 721:17f
[20522.443432] 275:22f
[20522.443436] 774:17f
[20522.443441] 324:22f
[20522.443446] 643:17f
[20522.443450] 400:22f
[20522.443455] 734:17f
[20522.443460] 360:22f
[20522.443464] 836:17f
[20522.443469] 156:22f
[20522.443474] 1043:17f
[20522.443478] 177:22f
[20522.443483] 1038:17f
[20522.443488] 178:22f
[20522.443492] 128:18f
[20522.443497] 1532:17f
[20522.443502] 953:17f
[20522.443506] 1029:17f
[20522.443511] 613:22f
[20522.443516] 320:27f
[20522.443520] 969:27f
[20522.443525] 949:27f
[20522.443529] 970:27f
[20522.443534] 966:27f
[20522.443539] 972:27f
[20522.443543] 976:27f
[20522.443548] 1060:27f
[20522.443553] 1072:17f
[20522.443558] 215:22f
[20522.443562] 922:27f
[20522.443567] 936:17f
[20522.443572] 154:22f
[20522.443576] 1058:27f
[20522.443581] 1005:27f
[20522.443586] 962:27f
[20522.443591] 962:27f
[20522.443595] 964:27f
[20522.443600] 441:18f
[20522.443605] 1335:27f
[20522.443609] 1494:17f
[20522.443614] 973:17f
[20522.443619] 285:22f
[20522.443623] 684:17f
[20522.443628] 281:22f
[20522.443633] 931:17f
[20522.443638] 162:22f
[20522.443642] 808:17f
[20522.443647] 226:22f
[20522.443652] 753:17f
[20522.443656] 402:22f
[20522.443661] 775:17f
[20522.443666] 221:22f
[20522.443670] 945:17f
[20522.443675] 185:22f
[20522.443680] 807:17f
[20522.443684] 291:22f
[20522.443689] 939:17f
[20522.443694] 317:22f
[20522.443698] 652:17f
[20522.443703] 502:22f
[20522.443708] 539:17f
[20522.443712] 547:22f
[20522.443717] 431:17f
[20522.443722] 762:22f
[20522.443726] 302:17f
[20522.443731] 692:22f
[20522.443736] 500:17f
[20522.443740] 670:22f
[20522.443745] 400:17f
[20522.443750] 628:22f
[20522.443754] 545:18f
[20522.443759] 1535:17f
[20522.443764] 87:27f
[20522.443768] 946:27f
[20522.443773] 1066:27f
[20522.443778] 543:22f
[20522.443782] 424:27f
[20522.443787] 955:17f
[20522.443792] 621:22f
[20522.443797] 469:17f
[20522.443801] 1022:27f
[20522.443806] 957:27f
[20522.443810] 981:27f
[20522.443815] 914:17f
[20522.443820] 674:22f
[20522.443825] 471:17f
[20522.443829] 528:22f
[20522.443834] 424:17f
[20522.443839] 1068:17f
[20522.443843] 5:27f
[20522.443848] 1049:17f
[20522.443853] 180:22f
[20522.443857] 944:17f
[20522.443862] 343:22f
[20522.443867] 829:17f
[20522.443871] 155:22f
[20522.443876] 926:17f
[20522.443881] 877:22f
[20522.443885] 101:17f
[20522.443890] 892:18f
[20522.443895] 1263:27f
[20522.443899] 321:17f
[20522.443904] 969:17f
[20522.443909] 999:27f
[20522.443913] 616:22f
[20522.443918] 586:17f
[20522.443923] 402:22f
[20522.443928] 1049:22f
[20522.443932] 399:17f
[20522.443937] 693:22f
[20522.443942] 922:27f
[20522.443946] 1032:27f
[20522.443951] 1090:22f
[20522.443956] 40:17f
[20522.443960] 1159:27f
[20522.443965] 864:22f
[20522.443970] 638:17f
[20522.443974] 561:22f
[20522.443979] 987:27f
[20522.443984] 979:27f
[20522.443988] 946:27f
[20522.443993] 38:22f
[20522.443998] 923:17f
[20522.444002] 191:22f
[20522.444007] 776:17f
[20522.444012] 203:22f
[20522.444017] 1014:22f
[20522.444021] 61:27f
[20522.444026] 264:18f
[20522.444031] 1232:27f
[20522.444035] 1536:27f
[20522.444040] 955:17f
[20522.444045] 427:22f
[20522.444049] 563:27f
[20522.444054] 968:22f
[20522.444059] 114:17f
[20522.444063] 984:27f
[20522.444068] 908:22f
[20522.444073] 81:17f
[20522.444077] 896:22f
[20522.444082] 284:17f
[20522.444087] 800:22f
[20522.444091] 188:17f
[20522.444096] 992:27f
[20522.444101] 985:22f
[20522.444105] 44:27f
[20522.444110] 864:17f
[20522.444115] 59:22f
[20522.444119] 999:17f
[20522.444124] 218:22f
[20522.444129] 803:17f
[20522.444133] 273:22f
[20522.444138] 923:17f
