[18679.597178] 1061:17f
[18679.597183] 1227:17f
[18679.597188] 1031:17f
[18679.597192] 981:17f
[18679.597197] 1113:17f
[18679.597202] 1120:17f
[18679.597206] 1034:18f
[18679.597211] 1456:17f
[18679.597216] 975:17f
[18679.597221] 1385:17f
[18679.597225] 1755:17f
[18679.597230] 5429:17f
[18679.597235] 4272:17f
[18679.597240] 4080:17f
[18679.597244] 5777:17f
[18679.597249] 5609:17f
[18679.597254] 5406:17f
[18679.597258] 4898:17f
[18679.597263] 4821:17f
[18679.597268] 4153:17f
[18679.597272] 2061:17f
[18679.597277] 4235:17f
[18679.597282] 5831:17f
[18679.597287] 1350:17f
[18679.597291] 5262:17f
[18679.597296] 1054:17f
[18679.597300] 2029:17f
[18679.597305] 3090:17f
[18679.597310] 4869:17f
[18679.597315] 2638:17f
[18679.597319] 1739:17f
[18679.597324] 5129:17f
[18679.597328] 1464:17f
[18679.597333] 1917:17f
[18679.597338] 2430:17f
[18679.597342] 1447:17f
[18679.597347] 3421:18f
[18679.597352] 1553:17f
[18679.597356] 3831:17f
[18679.597361] 1044:17f
[18679.597366] 1009:17f
[18679.597370] 994:17f
[18679.597375] 966:17f
[18679.597380] 1152:17f
[18679.597384] 998:17f
[18679.597389] 1180:17f
[18679.597394] 1195:17f
[18679.597398] 1175:17f
[18679.597403] 985:17f
[18679.597408] 997:17f
[18679.597412] 1157:17f
[18679.597417] 1238:17f
[18679.597422] 1097:17f
[18679.597426] 995:17f
[18679.597431] 1204:17f
[18679.597436] 1118:17f
[18679.597440] 1000:17f
[18679.597445] 1354:17f
[18679.597450] 968:17f
[18679.597454] 1235:17f
[18679.597459] 1185:17f
[18679.597464] 1225:17f
[18679.597468] 968:17f
[18679.597473] 965:17f
[18679.597478] 1165:17f
[18679.597482] 1162:17f
[18679.597487] 965:17f
[18679.597492] 1057:17f
[18679.597497] 1004:17f
[18679.597501] 997:17f
[18679.597506] 1208:17f
[18679.597511] 1043:17f
[18679.597515] 968:17f
[18679.597520] 974:17f
[18679.597525] 1148:17f
[18679.597529] 967:17f
[18679.597534] 1035:17f
[18679.597539] 1119:17f
[18679.597543] 1197:17f
[18679.597548] 1202:17f
[18679.597553] 1033:17f
[18679.597557] 1194:17f
[18679.597562] 1222:17f
[18679.597567] 968:17f
[18679.597572] 952:17f
[18679.597576] 969:17f
[18679.597581] 1089:17f
[18679.597586] 981:17f
[18679.597590] 1187:17f
[18679.597595] 960:17f
[18679.597600] 1049:17f
