[20253.723945] 1760:22f
[20253.723950] 1637:22f
[20253.723955] 965:22f
[20253.723959] 1958:22f
[20253.723964] 2183:22f
[20253.723969] 370:18f
[20253.723973] 3895:22f
[20253.723978] 986:22f
[20253.723983] 2037:22f
[20253.723988] 2078:22f
[20253.723992] 1659:22f
[20253.723997] 1000:22f
[20253.724002] 1598:22f
[20253.724006] 1297:22f
[20253.724011] 1895:22f
[20253.724015] 2161:22f
[20253.724020] 1175:22f
[20253.724025] 219:18f
[20253.724030] 3909:22f
[20253.724034] 958:22f
[20253.724039] 1852:22f
[20253.724043] 1968:22f
[20253.724048] 1955:22f
[20253.724053] 1945:22f
[20253.724057] 1489:22f
[20253.724062] 1881:22f
[20253.724067] 1920:22f
[20253.724071] 1691:22f
[20253.724076] 420:18f
[20253.724081] 3899:22f
[20253.724085] 966:22f
[20253.724090] 1198:22f
[20253.724095] 1061:22f
[20253.724099] 1075:22f
[20253.724104] 1205:22f
[20253.724109] 964:22f
[20253.724113] 1094:22f
[20253.724118] 1129:22f
[20253.724123] 1191:22f
[20253.724127] 967:22f
[20253.724132] 1077:22f
[20253.724137] 1122:22f
[20253.724141] 1137:22f
[20253.724146] 1161:22f
[20253.724151] 748:18f
[20253.724155] 4024:22f
[20253.724160] 967:22f
[20253.724164] 1564:22f
[20253.724169] 1260:22f
[20253.724174] 1868:22f
[20253.724178] 1110:22f
[20253.724183] 1221:22f
[20253.724188] 1178:22f
[20253.724192] 1549:22f
[20253.724197] 2090:22f
[20253.724202] 1230:22f
[20253.724206] 1932:18f
[20253.724211] 3896:22f
[20253.724216] 968:22f
[20253.724220] 1707:22f
[20253.724225] 1010:22f
[20253.724229] 1592:22f
[20253.724234] 1649:22f
[20253.724239] 1490:22f
[20253.724243] 2108:22f
[20253.724248] 1508:22f
[20253.724253] 1990:22f
[20253.724257] 2079:18f
[20253.724262] 3894:22f
[20253.724267] 964:22f
[20253.724271] 1634:22f
[20253.724276] 1592:22f
[20253.724281] 1273:22f
[20253.724285] 1605:22f
[20253.724290] 1286:22f
[20253.724294] 1752:22f
[20253.724299] 1996:22f
[20253.724304] 1480:22f
[20253.724308] 2058:22f
[20253.724313] 459:18f
[20253.724318] 3978:22f
[20253.724322] 960:22f
[20253.724327] 1739:22f
[20253.724332] 1430:22f
[20253.724336] 1469:22f
[20253.724341] 1049:22f
[20253.724345] 2190:22f
[20253.724350] 1213:22f
[20253.724355] 2167:22f
[20253.724359] 1212:22f
[20253.724364] 1814:22f
[20253.724369] 775:18f
[20253.724373] 3897:22f
[20253.724378] 969:22f
[20253.724383] 1829:22f
[20253.724387] 1297:22f
[20253.724392] 1783:22f
[20253.724397] 1225:22f
[20253.724401] 1452:22f
[20253.724406] 1202:22f
[20253.724410] 1800:22f
[20253.724415] 2114:22f
[20253.724420] 1079:22f
[20253.724424] 1352:18f
[20253.724429] 3896:22f
[20253.724434] 968:22f
[20253.724438] 1587:22f
[20253.724443] 1780:22f
[20253.724448] 2082:22f
[20253.724452] 1049:22f
[20253.724457] 1791:22f
[20253.724462] 2009:22f
[20253.724466] 1863:22f
[20253.724471] 1314:22f
[20253.724476] 1651:18f
[20253.724480] 3896:22f
[20253.724485] 968:22f
[20253.724490] 1345:22f
[20253.724494] 1061:22f
[20253.724499] 1603:22f
[20253.724504] 1290:22f
[20253.724508] 1288:22f
[20253.724513] 971:22f
[20253.724517] 1443:22f
[20253.724522] 1135:22f
[20253.724527] 1090:22f
[20253.724531] 1850:22f
[20253.724536] 2055:18f
[20253.724541] 3896:22f
[20253.724545] 977:22f
[20253.724550] 4964:22f
[20253.724555] 1245:22f
[20253.724559] 5153:22f
[20253.724564] 1226:22f
[20253.724569] 2535:18f
[20253.724573] 3896:22f
[20253.724578] 1531:22f
[20253.724583] 1968:22f
[20253.724587] 968:22f
[20253.724592] 1412:22f
[20253.724597] 1890:22f
[20253.724601] 1989:22f
[20253.724606] 1256:22f
[20253.724610] 1824:22f
[20253.724615] 1631:22f
[20253.724620] 1095:22f
[20253.724625] 537:18f
[20253.724629] 3912:22f
[20253.724634] 966:22f
[20253.724638] 2191:22f
[20253.724643] 1051:22f
[20253.724648] 1991:22f
[20253.724652] 1387:22f
[20253.724657] 2191:22f
[20253.724662] 2089:22f
[20253.724666] 1582:22f
[20253.724671] 2021:22f
[20253.724676] 615:18f
[20253.724680] 3924:22f
[20253.724685] 960:22f
[20253.724689] 1757:22f
[20253.724694] 2151:22f
[20253.724699] 1819:22f
[20253.724703] 1623:22f
[20253.724708] 1587:22f
[20253.724713] 2074:22f
[20253.724717] 1150:22f
[20253.724722] 1046:22f
[20253.724727] 1466:22f
[20253.724731] 436:18f
[20253.724736] 3910:22f
[20253.724740] 967:22f
[20253.724745] 1168:22f
[20253.724750] 1819:22f
[20253.724754] 1922:22f
[20253.724759] 1046:22f
[20253.724764] 1807:22f
[20253.724768] 1619:22f
[20253.724773] 1388:22f
[20253.724778] 1425:22f
[20253.724782] 1433:22f
[20253.724787] 1009:22f
[20253.724792] 481:18f
[20253.724796] 3889:22f
[20253.724801] 976:22f
[20253.724806] 3780:22f
[20253.724810] 2749:22f
[20253.724815] 2316:22f
[20253.724820] 4924:22f
[20253.724825] 1362:18f
[20253.724829] 3917:22f
[20253.724834] 969:22f
[20253.724838] 1271:22f
[20253.724843] 1776:22f
[20253.724848] 2001:22f
[20253.724853] 1664:22f
[20253.724857] 2101:22f
[20253.724862] 1944:22f
[20253.724866] 974:22f
[20253.724871] 1484:22f
[20253.724876] 1098:22f
[20253.724880] 796:18f
[20253.724885] 3936:22f
[20253.724890] 965:22f
[20253.724895] 1090:22f
[20253.724899] 1393:22f
[20253.724904] 1127:22f
[20253.724909] 2169:22f
[20253.724913] 1350:22f
[20253.724918] 1520:22f
[20253.724923] 1319:22f
[20253.724927] 1488:22f
[20253.724932] 1658:22f
[20253.724937] 1398:22f
[20253.724941] 584:18f
[20253.724946] 4209:22f
[20253.724951] 971:22f
[20253.724955] 1389:22f
[20253.724960] 2090:22f
[20253.724965] 2007:22f
[20253.724969] 1369:22f
[20253.724974] 2118:22f
[20253.724979] 1382:22f
[20253.724983] 1890:22f
[20253.724988] 2195:22f
[20253.724993] 374:18f
[20253.724998] 3988:22f
[20253.725002] 964:22f
[20253.725007] 1673:22f
[20253.725011] 1649:22f
[20253.725016] 2153:22f
[20253.725021] 1804:22f
[20253.725025] 1411:22f
[20253.725030] 2090:22f
[20253.725035] 969:22f
[20253.725039] 1087:22f
[20253.725044] 1613:22f
[20253.725049] 592:18f
[20253.725053] 3914:22f
[20253.725058] 956:22f
[20253.725063] 2490:22f
[20253.725067] 968:22f
[20253.725072] 1849:22f
[20253.725077] 1410:22f
[20253.725082] 1790:22f
[20253.725086] 1548:22f
[20253.725091] 2190:22f
[20253.725096] 1742:22f
[20253.725100] 1137:18f
[20253.725105] 3895:22f
[20253.725110] 970:22f
[20253.725114] 1969:22f
[20253.725119] 1791:22f
[20253.725124] 1510:22f
[20253.725128] 1329:22f
[20253.725133] 1190:22f
[20253.725138] 970:22f
[20253.725142] 1929:22f
[20253.725147] 1269:22f
[20253.725152] 1731:22f
[20253.725156] 1439:18f
[20253.725161] 3898:22f
[20253.725166] 971:22f
[20253.725171] 1451:22f
[20253.725175] 1143:22f
[20253.725180] 1552:22f
[20253.725184] 1170:22f
[20253.725189] 1428:22f
[20253.725194] 951:22f
[20253.725198] 1226:22f
[20253.725203] 971:22f
[20253.725208] 994:22f
[20253.725212] 2223:22f
[20253.725217] 1812:22f
[20253.725222] 208:18f
[20253.725226] 4042:22f
[20253.725231] 1070:22f
[20253.725236] 4691:22f
[20253.725240] 3249:22f
[20253.725245] 3194:22f
[20253.725250] 1029:22f
[20253.725254] 1801:22f
[20253.725259] 917:18f
[20253.725264] 3907:22f
[20253.725268] 965:22f
[20253.725273] 1091:22f
[20253.725278] 1228:22f
[20253.725283] 2179:22f
[20253.725287] 1700:22f
[20253.725292] 2128:22f
[20253.725297] 1039:22f
[20253.725301] 1442:22f
[20253.725306] 2035:22f
[20253.725311] 1364:22f
[20253.725315] 917:18f
[20253.725320] 3895:22f
[20253.725325] 963:22f
[20253.725329] 1497:22f
[20253.725334] 1491:22f
[20253.725339] 1620:22f
[20253.725343] 1857:22f
[20253.725348] 1250:22f
[20253.725353] 1128:22f
[20253.725358] 1131:22f
[20253.725362] 1674:22f
[20253.725367] 1395:22f
[20253.725372] 970:22f
[20253.725376] 1123:18f
[20253.725381] 3916:22f
[20253.725386] 969:22f
[20253.725390] 2339:22f
[20253.725395] 1301:22f
[20253.725400] 1759:22f
[20253.725404] 2103:22f
[20253.725409] 1913:22f
[20253.725414] 1404:22f
[20253.725418] 1970:22f
[20253.725423] 1669:22f
[20253.725428] 652:18f
[20253.725432] 3897:22f
[20253.725437] 965:22f
[20253.725442] 1872:22f
[20253.725447] 1398:22f
[20253.725451] 1558:22f
[20253.725456] 1538:22f
[20253.725461] 1205:22f
[20253.725465] 1396:22f
[20253.725470] 1830:22f
[20253.725475] 1607:22f
[20253.725479] 1912:22f
[20253.725484] 817:18f
