[11657.706104] 955:27f
[11657.706109] 987:27f
[11657.706114] 969:27f
[11657.706118] 954:27f
[11657.706123] 966:27f
[11657.706128] 1117:17f
[11657.706132] 918:27f
[11657.706137] 975:27f
[11657.706142] 973:27f
[11657.706147] 966:27f
[11657.706151] 989:27f
[11657.706156] 961:27f
[11657.706161] 989:27f
[11657.706165] 1033:27f
[11657.706170] 965:27f
[11657.706175] 980:27f
[11657.706179] 960:27f
[11657.706184] 998:27f
[11657.706189] 954:27f
[11657.706194] 971:27f
[11657.706198] 959:27f
[11657.706203] 972:27f
[11657.706207] 1003:27f
[11657.706212] 965:22f
[11657.706217] 106:17f
[11657.706222] 995:27f
[11657.706226] 973:27f
[11657.706231] 960:27f
[11657.706236] 1085:17f
[11657.706240] 933:27f
[11657.706245] 974:27f
[11657.706250] 963:27f
[11657.706254] 555:18f
[11657.706259] 1317:27f
[11657.706264] 1043:17f
[11657.706269] 960:17f
[11657.706274] 969:17f
[11657.706278] 93:22f
[11657.706283] 929:17f
[11657.706288] 40:22f
[11657.706292] 969:22f
[11657.706297] 46:17f
[11657.706301] 894:22f
[11657.706306] 125:17f
[11657.706311] 840:22f
[11657.706315] 129:17f
[11657.706320] 815:22f
[11657.706325] 180:17f
[11657.706329] 846:22f
[11657.706334] 151:17f
[11657.706339] 814:22f
[11657.706343] 178:17f
[11657.706348] 767:22f
[11657.706353] 199:17f
[11657.706357] 827:22f
[11657.706362] 147:17f
[11657.706367] 816:22f
[11657.706371] 222:17f
[11657.706376] 744:22f
[11657.706380] 291:17f
[11657.706385] 673:22f
[11657.706390] 378:17f
[11657.706394] 568:22f
[11657.706399] 399:17f
[11657.706404] 613:22f
[11657.706408] 383:17f
[11657.706413] 562:22f
[11657.706418] 403:17f
[11657.706422] 610:22f
[11657.706427] 379:17f
[11657.706432] 565:22f
[11657.706436] 439:17f
[11657.706441] 534:22f
[11657.706446] 466:17f
[11657.706450] 479:22f
[11657.706455] 485:17f
[11657.706460] 532:22f
[11657.706464] 503:17f
[11657.706469] 446:22f
[11657.706474] 620:17f
[11657.706478] 329:22f
[11657.706483] 794:17f
[11657.706488] 189:22f
[11657.706492] 778:17f
[11657.706497] 166:22f
[11657.706501] 896:17f
[11657.706506] 105:22f
[11657.706511] 891:17f
[11657.706515] 67:22f
[11657.706520] 926:17f
[11657.706525] 81:22f
[11657.706529] 956:17f
[11657.706534] 8:22f
[11657.706539] 947:22f
[11657.706543] 127:17f
[11657.706548] 863:22f
[11657.706553] 123:17f
[11657.706557] 832:22f
[11657.706562] 170:17f
[11657.706567] 795:22f
[11657.706571] 280:17f
[11657.706576] 792:22f
[11657.706580] 237:17f
[11657.706585] 728:22f
[11657.706590] 276:17f
[11657.706595] 695:22f
[11657.706599] 278:17f
[11657.706604] 704:22f
[11657.706609] 314:17f
[11657.706613] 662:22f
[11657.706618] 313:17f
[11657.706623] 647:22f
[11657.706627] 325:17f
[11657.706632] 672:22f
[11657.706637] 413:17f
[11657.706641] 548:22f
[11657.706646] 420:17f
[11657.706650] 542:22f
[11657.706655] 425:17f
[11657.706660] 555:22f
[11657.706665] 406:17f
[11657.706669] 570:22f
[11657.706674] 427:17f
[11657.706678] 551:22f
[11657.706683] 498:17f
[11657.706688] 476:22f
[11657.706693] 570:17f
[11657.706697] 394:22f
[11657.706702] 576:17f
[11657.706706] 417:22f
[11657.706711] 553:17f
[11657.706716] 423:22f
[11657.706720] 634:17f
[11657.706725] 333:22f
[11657.706730] 649:17f
