[13056.814871] 961:27f
[13056.814876] 959:27f
[13056.814881] 1107:27f
[13056.814885] 964:27f
[13056.814890] 949:27f
[13056.814895] 995:27f
[13056.814899] 943:27f
[13056.814904] 971:27f
[13056.814909] 1371:27f
[13056.814913] 982:27f
[13056.814918] 954:27f
[13056.814923] 1073:27f
[13056.814928] 1117:27f
[13056.814932] 1011:27f
[13056.814937] 965:27f
[13056.814942] 1128:27f
[13056.814946] 997:27f
[13056.814951] 998:27f
[13056.814956] 1045:27f
[13056.814960] 965:27f
[13056.814965] 1006:27f
[13056.814970] 1099:27f
[13056.814974] 964:27f
[13056.814979] 1153:27f
[13056.814984] 943:17f
[13056.814989] 960:27f
[13056.814993] 968:27f
[13056.814998] 960:27f
[13056.815003] 960:27f
[13056.815007] 1167:27f
[13056.815012] 1091:27f
[13056.815017] 997:27f
[13056.815021] 964:27f
[13056.815026] 972:27f
[13056.815031] 968:27f
[13056.815035] 974:27f
[13056.815040] 966:27f
[13056.815045] 969:27f
[13056.815049] 962:27f
[13056.815054] 985:27f
[13056.815059] 962:27f
[13056.815063] 984:27f
[13056.815068] 999:27f
[13056.815072] 959:22f
[13056.815077] 278:17f
[13056.815082] 1013:27f
[13056.815086] 994:27f
[13056.815091] 967:27f
[13056.815096] 988:27f
[13056.815100] 945:22f
[13056.815105] 846:17f
[13056.815110] 1013:27f
[13056.815114] 989:27f
[13056.815119] 984:27f
[13056.815124] 1029:27f
[13056.815128] 968:27f
[13056.815133] 1012:27f
[13056.815138] 976:27f
[13056.815142] 1140:27f
[13056.815147] 1106:27f
[13056.815152] 875:17f
[13056.815157] 1028:27f
[13056.815161] 965:27f
[13056.815166] 1036:27f
[13056.815171] 1006:27f
[13056.815175] 967:27f
[13056.815180] 983:27f
[13056.815185] 1346:27f
[13056.815189] 975:27f
[13056.815194] 969:27f
[13056.815199] 1019:27f
[13056.815203] 988:27f
[13056.815208] 988:27f
[13056.815213] 986:27f
[13056.815217] 981:27f
[13056.815222] 967:27f
[13056.815227] 970:27f
[13056.815231] 989:27f
[13056.815236] 967:27f
[13056.815241] 960:27f
[13056.815245] 978:27f
[13056.815250] 971:27f
[13056.815255] 1018:22f
[13056.815259] 968:27f
[13056.815264] 992:27f
[13056.815269] 966:27f
[13056.815273] 974:27f
[13056.815278] 980:27f
[13056.815283] 996:27f
[13056.815287] 1009:27f
[13056.815292] 967:27f
[13056.815297] 1026:27f
[13056.815301] 1040:17f
[13056.815306] 1161:27f
[13056.815311] 975:27f
[13056.815315] 990:27f
[13056.815320] 980:27f
[13056.815325] 981:27f
[13056.815329] 1144:27f
[13056.815334] 985:27f
[13056.815339] 963:27f
[13056.815344] 1066:27f
[13056.815348] 972:27f
[13056.815353] 962:27f
[13056.815357] 988:27f
[13056.815362] 977:27f
[13056.815367] 958:27f
[13056.815371] 988:27f
[13056.815376] 975:27f
[13056.815381] 978:27f
[13056.815385] 966:27f
[13056.815390] 1004:27f
[13056.815395] 1033:27f
[13056.815399] 916:18f
[13056.815404] 1348:27f
[13056.815409] 1140:22f
[13056.815413] 993:22f
[13056.815418] 388:17f
[13056.815422] 556:22f
[13056.815427] 411:17f
[13056.815432] 550:22f
[13056.815436] 422:17f
[13056.815441] 577:22f
[13056.815445] 393:17f
[13056.815450] 553:22f
[13056.815455] 406:17f
[13056.815459] 562:22f
[13056.815464] 416:17f
[13056.815469] 560:22f
[13056.815473] 403:17f
[13056.815478] 542:22f
[13056.815482] 448:17f
[13056.815487] 542:22f
[13056.815491] 451:17f
[13056.815496] 504:22f
[13056.815501] 442:17f
[13056.815505] 515:22f
[13056.815510] 501:17f
[13056.815514] 462:22f
[13056.815519] 484:17f
[13056.815524] 461:22f
